1333389281532713,29.4177,129.652,0.278698
1333389281582707,29.4186,129.649,0.278854
1333389281632707,29.4193,129.648,0.278853
1333389281683718,29.4168,129.651,0.278849
1333389281733725,29.4165,129.65,0.278846
1333389281783718,29.419,129.649,0.278999
1333389281833713,29.419,129.648,0.278995
1333389281883716,29.4185,129.65,0.278992
1333389281933708,29.4188,129.648,0.278832
1333389281983706,29.4174,129.649,0.278829
1333389282033703,29.4194,129.647,0.278826
1333389282084720,29.4179,129.651,0.278822
1333389282134723,29.4224,129.647,0.278819
1333389282184713,29.4173,129.65,0.278816
1333389282234711,29.4186,129.65,0.278812
1333389282284705,29.4188,129.651,0.278809
1333389282334709,29.417,129.651,0.278806
1333389282384704,29.4188,129.649,0.278802
1333389282434701,29.418,129.651,0.278799
1333389282485720,29.4166,129.651,0.278796
1333389282535722,29.4195,129.65,0.278949
1333389282585714,29.4195,129.648,0.278945
1333389282635711,29.4172,129.65,0.278942
1333389282685708,29.4162,129.648,0.278939
1333389282735705,29.4175,129.648,0.278935
1333389282785703,29.4167,129.65,0.278932
1333389282835702,29.417,129.65,0.278928
1333389282886717,29.4171,129.649,0.278925
1333389282936717,29.4174,129.65,0.278922
1333389282986710,29.4171,129.65,0.278918
1333389283036716,29.4192,129.648,0.279228
1333389283086707,29.4194,129.648,0.279849
1333389283136700,29.419,129.65,0.279533
1333389283186702,29.4181,129.651,0.278905
1333389283236697,29.4172,129.649,0.278902
1333389283287714,29.4179,129.65,0.278273
1333389283337709,29.4172,129.649,0.278895
1333389283387706,29.4182,129.648,0.279517
1333389283437708,29.419,129.649,0.280138
1333389283487703,29.4185,129.65,0.278885
1333389283537705,29.4184,129.651,0.278882
1333389283587700,29.4185,129.648,0.279191
1333389283637700,29.4202,129.652,0.279187
1333389283688715,29.4199,129.651,0.279184
1333389283738709,29.4194,129.65,0.278868
1333389283788705,29.4188,129.651,0.278865
1333389283838702,29.4202,129.65,0.278862
1333389283888700,29.4181,129.651,0.278858
